,lat,lon
226,30.673751,103.978013
227,30.673762,103.978008
228,30.673771,103.978007
229,30.673773,103.978006
230,30.673773,103.977947
231,30.673774,103.977252
232,30.673879,103.976249
233,30.674073,103.975321
234,30.674374,103.974125
235,30.674787,103.972726
236,30.67521,103.971252
237,30.675571,103.969998
238,30.675826,103.968992
239,30.675882,103.968874
240,30.675917,103.968895
241,30.675927,103.968815
242,30.675948,103.968743
243,30.675949,103.968739
244,30.676061,103.968326
245,30.676225,103.967759
246,30.676376,103.967238
247,30.676395,103.967145
248,30.676384,103.967138
249,30.676381,103.967125
250,30.676377,103.967104
251,30.676377,103.967089
252,30.676377,103.96709
253,30.676388,103.967061
254,30.676586,103.966388
255,30.67684,103.96544
256,30.677171,103.964322
257,30.677466,103.963335
258,30.677771000000003,103.962307
259,30.678043,103.961354
260,30.678006,103.960548
261,30.677028000000004,103.960056
262,30.676344,103.959771
263,30.6761,103.959571
264,30.676093,103.959378
265,30.676247,103.958883
266,30.676558,103.957967
267,30.676416,103.957539
268,30.675917,103.95731
269,30.675742,103.957259
270,30.668954,103.958277
271,30.66877,103.95857
272,30.66877,103.959661
273,30.668799,103.961073
274,30.668796,103.962243
275,30.668807,103.962488
276,30.668808,103.962492
277,30.668813,103.962509
278,30.668825,103.962523
279,30.668828,103.962529
280,30.668833000000006,103.963
281,30.668839,103.964132
282,30.668851,103.965272
283,30.668856,103.966662
284,30.668856,103.967971
285,30.668864000000006,103.969241
286,30.668892,103.970404
287,30.668917,103.971611
288,30.66893,103.972695
289,30.668951,103.97383
290,30.668965000000004,103.975096
291,30.668975,103.976364
292,30.669001,103.977749
293,30.66901,103.979124
294,30.66901,103.980668
295,30.668842,103.982061
296,30.668594,103.983324
297,30.668307,103.985031
298,30.668206,103.986633
299,30.668127,103.988704
300,30.66811,103.990535
301,30.668098,103.991997
302,30.667997,103.993195
303,30.668003,103.99367
304,30.668048,103.993741
305,30.668055,103.99377
306,30.668058,103.993792
307,30.668055,103.994012
308,30.667908,103.994868
309,30.667812,103.995434
310,30.667717,103.995689
311,30.66752,103.996747
312,30.666724,103.99795
313,30.665978000000006,103.999217
314,30.665629,104.000594
315,30.665632,104.001787
316,30.665667,104.003227
317,30.665711,104.004815
318,30.665597,104.006102
319,30.665249,104.007708
320,30.665,104.008951
321,30.664829,104.010237
322,30.664816,104.010789
323,30.664815,104.01124
324,30.664743,104.012102
325,30.664097,104.013286
326,30.663257,104.01461
327,30.662654,104.015642
328,30.662534,104.0167
329,30.66242,104.017757
330,30.662368,104.018559
331,30.662349,104.019065
332,30.662345,104.019517
333,30.662356,104.020442
334,30.662382,104.020853
335,30.662381,104.021711
336,30.662386,104.0229
337,30.662388,104.023894
338,30.662407,104.025215
339,30.662434,104.026445
340,30.662474,104.027018
341,30.662484000000006,104.027071
342,30.662475,104.027086
343,30.662462,104.027076
344,30.662453000000006,104.02722
345,30.662479,104.028004
346,30.662522,104.028961
347,30.662568,104.030002
348,30.662625,104.031213
349,30.662667,104.032171
350,30.662702000000003,104.032583
351,30.662692,104.032782
352,30.662684,104.032773
353,30.662678000000003,104.03279
354,30.662669,104.033015
355,30.662658,104.033858
356,30.662384000000007,104.03501
357,30.661933,104.035852
358,30.662166,104.036349
359,30.662937,104.036574
360,30.663808000000003,104.036735
361,30.664796000000006,104.036917
362,30.665889,104.03711
363,30.666963,104.037305
364,30.667431,104.037661
365,30.667206,104.038416
366,30.666924,104.039019
367,30.666751,104.03935
368,30.666534,104.039869
369,30.666208,104.040077
370,30.66636,104.040456
371,30.666682,104.040618
372,30.666812,104.040631
373,30.666841,104.040618
374,30.666917,104.040645
375,30.667983000000003,104.048704
376,30.66822,104.049033
377,30.667904,104.050015
378,30.667475,104.051012
379,30.667279,104.051483
380,30.667273,104.05156
381,30.667278000000003,104.051564
382,30.667273,104.051562
383,30.667279,104.051563
384,30.667302000000007,104.051581
385,30.667115000000006,104.051908
386,30.666806,104.052515
387,30.666492,104.053172
388,30.666179,104.05388
389,30.665824,104.054733
390,30.665566,104.055333
391,30.665307,104.055763
392,30.665634000000004,104.056029
393,30.666366,104.05598
394,30.667375,104.0561
395,30.668226,104.056338
396,30.668515000000006,104.056443
397,30.667944,104.057515
398,30.667552,104.058524
399,30.667115000000006,104.05982
400,30.667405,104.060577
401,30.668346000000003,104.060665
402,30.669290000000004,104.061243
403,30.669985,104.061602
404,30.67047,104.061859
405,30.670534000000004,104.062349
406,30.670106,104.063224
407,30.672877000000003,104.063304
408,30.672558,104.064096
409,30.672348,104.064701
410,30.672946000000003,104.065208
411,30.673564,104.065798
412,30.673126,104.066809
413,30.672814,104.06744
414,30.672857,104.067453
415,30.672911,104.067464
416,30.672956,104.067483
417,30.672977000000003,104.067506
418,30.672801,104.067713
419,30.672536,104.068269
420,30.672207,104.069098
421,30.671812,104.069903
422,30.671671000000003,104.070168
423,30.671403,104.070727
424,30.670958,104.071594
425,30.670566,104.072406
426,30.670247,104.073113
427,30.670093,104.073456
428,30.670101000000006,104.073462
429,30.670101000000006,104.073467
430,30.670096,104.073489
431,30.670089,104.073511
432,30.670087,104.073526
433,30.670084000000006,104.073526
434,30.67008,104.073524
435,30.670012,104.073663
436,30.669763,104.074175
437,30.669425,104.074897
438,30.669033,104.075708
439,30.668641,104.076569
440,30.668246000000003,104.077344
441,30.667777,104.077293
442,30.667340000000006,104.077041
443,30.666848,104.076791
444,30.666516,104.077172
445,30.666401,104.07732
446,30.666186,104.077582
447,30.665891,104.078031
448,30.665385,104.077912
449,30.664720000000006,104.077517
450,30.664327,104.077633
451,30.663964,104.078339
452,30.663612,104.078927
453,30.662905,104.079547
454,30.662362,104.080742
455,30.661747,104.081912
456,30.66139,104.082212
457,30.66089,104.081891
458,30.660157,104.081475
459,30.659438,104.081048
460,30.658939,104.080836
461,30.65851,104.081717
462,30.658086,104.082016
463,30.657573,104.081744
464,30.657533,104.081755
465,30.657415000000004,104.081706
466,30.657363,104.081717
467,30.657299,104.081704
468,30.657296,104.081708
469,30.657295,104.081715
470,30.657286,104.081725
471,30.657052,104.081586
472,30.656148,104.081097
473,30.65515,104.080679
